"0","# Predict with the linear model"
"0","pred_values <- tibble("
"0","  xp_years = c(2,5,10,15,20,25),"
"0","  xp = xp_years * 365"
"0","  )"
"0","pred_data <- predict(arch_lm,pred_values,interval = 'confidence',level = 0.99)"
"0","pred_values <- mutate(pred_values, fit = pred_data[,1])"
"0","pred_values <- mutate(pred_values,lower = pred_data[,2])"
"0","pred_values <- mutate(pred_values,upper = pred_data[,3])"
"0","# Inverse the box-cox transformed data "
"0","pred_values <- mutate("
"0","  pred_values, "
"0","  fit = (fit * arch_sample_bc$lambda + 1) ^ ( 1 / arch_sample_bc$lambda)"
"0","  )"
"0","pred_values <- mutate("
"0","  pred_values,"
"0","  lower = (lower * arch_sample_bc$lambda + 1) ^ ( 1 / arch_sample_bc$lambda)"
"0","  )"
"0","pred_values <- "
"0","  mutate(pred_values, "
"0","         upper = (upper * arch_sample_bc$lambda + 1) ^ ( 1 / arch_sample_bc$lambda)"
"0","         )"
"0","pred_values"
