RHBMM,Accuracyyy,AGE,DRESS,Home,Jail
1,0.7913,middle,green,forest,yes
1,0.5055,middle,red,city,no
0,0.5812,middle,black,city,no
0,0.7351,middle,red,city,no
0,0.5304,youth,green,city,no
0,0.4317,youth,black,city,no
0,0.7579,middle,red,city,no
0,0.5682,youth,red,city,no
1,0.5145,middle,black,city,no
1,0.7641,youth,black,forest,no
1,0.697,senior,black,forest,no
0,0.5377,youth,red,city,no
0,0.5157,youth,green,city,no
1,0.6901,youth,black,city,no
0,0.8538,youth,red,city,no
0,0.5086,senior,red,city,yes
0,0.7876,youth,black,city,no
1,0.6652,senior,green,city,no
0,0.8329,middle,green,city,no
1,0.7587,youth,black,forest,no
0,0.5322,youth,black,city,no
0,0.693,youth,red,city,no
1,0.674,youth,red,forest,yes
1,0.6392,middle,red,city,no
0,0.537,middle,black,city,no
1,0.7029,senior,black,city,no
0,0.5665,youth,red,city,no
0,0.7431,youth,green,city,no
1,0.7758,youth,green,forest,no
1,0.5998,youth,green,city,no
1,0.7719,middle,green,city,no
1,0.581,youth,green,city,no
1,0.782,middle,red,forest,no
0,0.5198,middle,green,forest,no
1,0.4522,middle,red,city,no
1,0.7031,senior,green,city,no
1,0.9123,middle,green,city,yes
0,0.4635,middle,red,forest,no
1,0.8011,middle,red,city,no
1,0.5918,middle,green,city,no
0,0.6699,middle,red,city,no
0,0.6838,middle,red,forest,no
0,0.7547,youth,black,city,no
1,0.6106,youth,red,city,yes
1,0.7938,senior,green,forest,no
0,0.7707,middle,green,city,no
0,0.6577,youth,black,city,no
0,0.9004,senior,red,city,no
1,0.8372,senior,black,city,no
1,0.4665,middle,green,city,no
1,0.7808,middle,green,city,no
0,0.686,youth,green,city,no
1,0.5817,middle,green,city,no
0,0.8488,youth,red,city,yes
1,0.7391,youth,black,city,no
1,0.6617,middle,red,forest,no
0,0.601,middle,red,forest,no
0,0.3946,middle,red,city,no
0,0.6166,middle,black,city,yes
1,0.7133,senior,green,city,yes
1,0.853,senior,red,forest,no
0,0.641,youth,red,forest,no
0,0.6637,youth,green,city,no
1,0.5598,youth,green,city,no
1,0.9127,senior,black,city,yes
1,0.521,middle,green,city,no
1,0.8452,middle,black,city,yes
1,0.801,senior,black,forest,no
0,0.6557,youth,black,city,no
0,0.7018,middle,red,city,no
1,0.61,senior,black,city,no
0,0.7836,middle,black,city,no
0,0.6429,youth,red,forest,yes
1,0.8388,senior,black,city,no
1,0.6437,middle,black,city,no
0,0.686,middle,red,forest,no
0,0.592,youth,red,city,no
0,0.5814,youth,red,city,no
1,0.5481,senior,red,forest,no
1,0.836,middle,green,forest,no
1,0.5833,youth,red,forest,no
0,0.6645,middle,black,city,no
1,0.7921,senior,red,city,no
0,0.7781,middle,red,city,no
1,0.8201,middle,black,city,no
1,0.4915,middle,red,city,no
1,0.755,youth,black,city,no
0,0.8383,youth,black,city,no
0,0.8416,middle,black,city,no
1,0.8798,senior,green,forest,no
1,0.5545,youth,green,city,no
0,0.6769,youth,black,forest,no
1,0.5321,middle,green,forest,no
1,0.2913,middle,green,forest,yes
0,0.7496,youth,black,city,no
1,0.7843,senior,green,city,no
1,0.5296,middle,green,city,no
0,0.521,youth,black,city,no
1,0.7448,senior,green,city,no
0,0.7881,youth,red,forest,no
1,0.6668,youth,green,city,yes
0,0.7414,middle,black,city,no
1,0.6244,youth,green,city,no
1,0.8778,middle,red,forest,no
0,0.8913,youth,black,city,no
1,0.7904,youth,green,city,no
1,0.6525,senior,red,city,yes
0,0.7249,senior,black,city,no
0,0.6232,middle,red,city,no
0,0.4996,middle,green,city,no
1,0.8163,youth,green,city,no
0,0.7865,youth,black,city,no
1,0.6353,middle,red,city,yes
0,0.4793,senior,black,city,no
1,0.6963,middle,black,city,no
1,0.6788,senior,green,city,no
1,0.6737,middle,green,city,no
1,0.8856,youth,black,forest,no
0,0.6348,senior,green,city,no
0,0.5355,youth,black,city,yes
1,0.672,middle,red,forest,no
1,0.6215,youth,black,city,no
1,0.7144,senior,black,city,no
1,0.8239,youth,black,city,yes
1,0.6376,youth,black,forest,no
0,0.5288,middle,red,city,no
0,0.4712,youth,black,city,no
1,0.7183,youth,black,city,yes
1,0.6802,youth,red,city,no
1,0.7494,youth,red,city,no
1,0.908,youth,red,city,no
1,0.6192,youth,green,city,no
0,0.5905,middle,black,city,no
1,0.5743,middle,green,city,no
0,0.8252,middle,green,city,yes
0,0.8596,senior,black,city,no
1,0.8219,youth,green,city,no
0,0.7754,middle,red,city,no
1,0.6703,youth,red,city,no
1,0.6972,youth,black,forest,no
1,0.6527,middle,black,city,no
0,0.7607,middle,black,city,no
0,0.5004,middle,green,city,no
1,0.8002,middle,red,city,no
0,0.6084,senior,green,city,yes
0,0.4607,middle,red,city,no
0,0.8992,youth,red,forest,no
1,0.529,youth,green,city,no
0,0.8104,middle,black,city,no
1,0.7927,youth,red,city,yes
1,0.5289,middle,black,forest,yes
1,0.5931,youth,green,forest,no
1,0.7981,youth,black,city,yes
0,0.7919,youth,red,city,no
0,0.7604,youth,red,city,no
0,0.8251,middle,green,city,no
1,0.7851,senior,red,city,yes
1,0.6311,youth,green,forest,no
1,0.9186,middle,red,forest,no
1,0.538,youth,red,city,no
0,0.7293,youth,black,city,no
0,0.7711,middle,black,city,no
1,0.7804,youth,red,forest,no
1,0.7777,middle,black,forest,yes
1,0.6474,senior,green,city,no
0,0.6629,youth,green,city,yes
0,0.6257,middle,black,city,no
1,0.6315,senior,green,city,yes
0,0.6388,middle,black,city,no
0,0.5615,youth,green,city,no
1,0.913,youth,green,city,no
0,0.6553,middle,red,city,no
1,0.6656,middle,green,city,no
1,0.6969,senior,green,city,no
1,0.8937,middle,black,forest,no
1,0.7317,senior,black,city,no
1,0.5766,senior,red,city,no
1,0.6692,youth,green,forest,no
0,0.7809,youth,red,city,yes
0,0.5824,senior,black,city,no
0,0.7652,middle,black,city,no
1,0.6742,middle,black,forest,no
1,0.6885,middle,red,forest,no
1,0.6774,youth,black,forest,yes
1,0.4678,youth,green,city,no
0,0.695,youth,red,forest,no
1,0.6773,middle,green,forest,no
1,0.8587,senior,red,forest,yes
0,0.8404,senior,red,city,no
1,0.891,youth,green,forest,no
1,0.4709,middle,green,city,no
1,0.5867,youth,black,forest,no
1,0.6987,middle,black,city,no
0,0.7274,middle,red,city,no
0,0.7953,youth,red,city,no
1,0.7132,youth,black,forest,no
1,0.6147,middle,green,forest,no
1,0.7748,youth,black,city,no
1,0.6282,youth,green,city,yes
0,0.7486,middle,black,city,no
1,0.8475,youth,black,city,no
1,0.8157,youth,black,city,no
0,0.6043,youth,red,city,no
1,0.6764,youth,green,city,no
1,0.8343,middle,green,forest,no
0,0.7775,senior,red,city,no
0,0.7932,middle,red,city,no
1,0.6558,youth,green,city,no
0,0.5729,middle,red,city,no
1,0.7605,middle,black,city,no
1,0.4555,middle,red,forest,no
0,0.6582,youth,red,city,no
1,0.6798,senior,green,forest,no
0,0.6421,middle,green,city,no
0,0.5885,youth,black,city,no
0,0.4369,youth,red,city,yes
1,0.9219,middle,green,city,no
1,0.634,middle,green,city,no
0,0.5366,middle,black,city,no
1,0.7568,middle,black,city,no
0,0.3587,senior,red,forest,no
1,0.8119,youth,black,city,yes
0,0.8345,youth,green,city,no
0,0.9628,youth,black,city,no
0,0.7519,middle,green,city,no
0,0.7699,youth,red,city,no
1,0.5927,middle,green,forest,no
0,0.8237,youth,red,city,no
0,0.8424,middle,red,city,no
0,0.7533,youth,red,city,no
0,0.5423,youth,red,forest,no
0,0.6506,youth,black,city,no
0,0.8516,youth,red,city,no
0,0.5617,middle,red,city,yes
1,0.6552,youth,green,city,no
0,0.7354,middle,green,city,no
0,0.7761,youth,red,city,yes
0,0.7367,youth,red,city,no
1,0.7552,middle,green,forest,no
1,0.7148,youth,black,forest,no
0,0.7504,senior,red,city,no
