RHBMM,Accuracyyy,AGE,DRESS,Home,Jail
0,0.6722,senior,black,city,no
0,0.7232,middle,black,city,no
1,0.639,youth,black,city,no
0,0.8721,middle,green,city,no
0,0.6705,middle,black,city,no
0,0.625,youth,red,city,no
0,0.6728,senior,red,city,no
0,0.7476,middle,black,city,no
0,0.7416,senior,red,city,no
1,0.9127,youth,green,forest,no
1,0.701,middle,black,forest,no
1,0.6008,senior,green,city,no
1,0.783,youth,red,city,no
1,0.5928,senior,black,forest,no
0,0.6786,senior,green,city,no
1,0.566,middle,red,city,no
0,0.508,youth,black,city,no
1,0.7519,youth,red,forest,no
1,0.8282,middle,black,city,no
1,0.6638,youth,green,city,yes
0,0.7778,middle,red,city,no
0,0.6842,senior,black,city,no
1,0.7656,senior,black,forest,no
1,0.764,middle,black,forest,no
1,0.9567,youth,green,city,no
1,0.7337,middle,green,city,no
0,0.6035,youth,red,city,no
1,0.4642,youth,red,forest,no
1,0.7704,middle,black,city,no
1,0.8394,youth,black,city,yes
1,0.9406,middle,black,forest,no
0,0.6843,middle,red,city,no
1,0.6975,youth,black,city,no
1,0.6121,middle,red,city,yes
0,0.6339,youth,black,city,no
0,0.8538,middle,red,city,no
1,0.5513,senior,green,forest,no
1,0.8558,youth,red,city,no
1,0.7639,middle,red,forest,no
0,0.6373,youth,red,city,no
0,0.7647,senior,red,city,no
1,0.7112,youth,green,forest,no
1,0.7513,youth,red,city,no
1,0.7228,middle,red,city,no
1,0.8111,senior,green,city,no
0,0.6452,youth,red,city,yes
1,0.5918,senior,black,forest,no
1,0.8376,senior,green,city,no
1,0.7514,middle,black,forest,no
1,0.8424,youth,red,city,yes
1,0.7491,senior,red,city,no
0,0.6867,youth,black,city,no
1,0.7501,middle,black,city,no
0,0.541,middle,black,city,no
0,0.6585,senior,green,city,yes
1,0.5651,youth,black,city,no
0,0.6791,youth,black,city,no
0,0.8109,middle,black,city,no
1,0.676,youth,black,forest,no
1,0.7254,youth,black,city,no
1,0.8322,middle,green,city,no
0,0.7689,middle,green,city,no
0,0.5621,middle,green,city,no
1,0.8363,senior,green,city,no
0,0.7643,middle,green,city,no
1,0.7908,youth,red,city,no
0,0.6691,middle,black,city,no
0,0.8318,middle,black,city,no
1,0.7163,middle,black,forest,no
0,0.8898,middle,black,city,no
1,0.7094,senior,red,forest,yes
0,0.6307,youth,red,city,yes
0,0.6255,middle,black,city,no
1,0.7687,middle,red,city,no
1,0.4976,senior,black,city,yes
0,0.5127,youth,green,city,no
1,0.6705,middle,black,city,yes
1,0.5914,youth,red,city,no
0,0.753,middle,black,city,no
1,0.6017,youth,black,forest,no
0,0.6354,youth,red,city,no
0,0.5186,youth,black,city,no
0,0.8293,senior,red,forest,no
0,0.522,youth,red,city,no
1,0.6201,senior,black,city,no
1,0.3158,middle,red,city,no
1,0.5553,youth,green,forest,no
0,0.7098,youth,red,city,yes
0,0.7915,youth,black,city,no
1,0.7852,youth,green,city,yes
1,0.7204,senior,green,city,no
0,0.5808,youth,green,city,no
1,0.8487,middle,green,city,no
1,0.8134,senior,red,city,no
1,0.7703,youth,black,forest,no
1,0.8415,middle,red,forest,no
1,0.7083,youth,black,forest,no
0,0.6812,middle,red,city,no
1,0.8453,senior,green,forest,no
1,0.7549,youth,black,city,no
1,0.8412,youth,green,city,no
1,0.6705,middle,black,forest,yes
0,0.5676,middle,red,forest,no
0,0.7765,youth,red,city,no
1,0.4849,youth,black,city,no
1,0.8031,youth,green,forest,no
1,0.4919,middle,black,city,no
1,0.4613,youth,green,city,no
0,0.4952,youth,black,city,no
1,0.6809,youth,green,forest,no
1,0.7109,youth,red,forest,no
1,0.8548,youth,black,city,no
0,0.8434,middle,red,city,yes
0,0.9147,youth,black,forest,no
1,0.5578,middle,black,forest,no
0,0.4626,youth,red,city,no
1,0.8657,senior,green,city,yes
0,0.6941,middle,black,city,no
1,0.7365,senior,red,city,no
0,0.3279,youth,red,city,no
1,0.7421,senior,red,city,yes
0,0.5529,youth,black,city,no
0,0.6857,youth,green,city,no
